   text	   data	    bss	    dec	    hex	filename
      8	      0	      0	      8	      8	obj_avr-atmega128rfa1/random.o
   4245	     20	    375	   4640	   1220	obj_avr-atmega128rfa1/resolv.o
   2731	     10	    131	   2872	    b38	obj_avr-atmega128rfa1/rf230bb.o
    168	      0	      0	    168	     a8	obj_avr-atmega128rfa1/ringbuf.o
   4610	      6	    986	   5602	   15e2	obj_avr-atmega128rfa1/roll-tm.o
    949	      0	     38	    987	    3db	obj_avr-atmega128rfa1/rpl-dag-root.o
   6040	     10	    200	   6250	   186a	obj_avr-atmega128rfa1/rpl-dag.o
   1024	      0	      0	   1024	    400	obj_avr-atmega128rfa1/rpl-ext-header.o
   3256	     25	      0	   3281	    cd1	obj_avr-atmega128rfa1/rpl-icmp6.o
    496	     14	      0	    510	    1fe	obj_avr-atmega128rfa1/rpl-mrhof.o
    360	     14	      0	    374	    176	obj_avr-atmega128rfa1/rpl-of0.o
   1314	      0	     19	   1333	    535	obj_avr-atmega128rfa1/rpl-timers.o
    834	      0	      2	    836	    344	obj_avr-atmega128rfa1/rpl.o
    440	     14	      1	    455	    1c7	obj_avr-atmega128rfa1/rs232.o
    720	      0	      0	    720	    2d0	obj_avr-atmega128rfa1/rtimer-arch.o
    120	      0	      2	    122	     7a	obj_avr-atmega128rfa1/rtimer.o
    568	     10	      5	    583	    247	obj_avr-atmega128rfa1/sensors.o
    320	     10	    264	    594	    252	obj_avr-atmega128rfa1/serial-line.o
      0	      0	      0	      0	      0	obj_avr-atmega128rfa1/settings.o
    657	      0	      1	    658	    292	obj_avr-atmega128rfa1/sicslowmac.o
   4791	      0	    166	   4957	   135d	obj_avr-atmega128rfa1/sicslowpan.o
    547	     10	    129	    686	    2ae	obj_avr-atmega128rfa1/simple-udp.o
    949	     10	    153	   1112	    458	obj_avr-atmega128rfa1/slip.o
     86	     14	      1	    101	     65	obj_avr-atmega128rfa1/slip_uart0.o
    308	      0	   1285	   1593	    639	obj_avr-atmega128rfa1/slipdev.o
    369	      0	    147	    516	    204	obj_avr-atmega128rfa1/smrf.o
    296	      0	      0	    296	    128	obj_avr-atmega128rfa1/stimer.o
     98	      0	      0	     98	     62	obj_avr-atmega128rfa1/symtab-avr.o
   1729	     10	      3	   1742	    6ce	obj_avr-atmega128rfa1/tcp-socket.o
   1869	     10	     33	   1912	    778	obj_avr-atmega128rfa1/tcpip.o
    148	      0	      0	    148	     94	obj_avr-atmega128rfa1/timer.o
    746	      0	      4	    750	    2ee	obj_avr-atmega128rfa1/trickle-timer.o
    631	     10	    129	    770	    302	obj_avr-atmega128rfa1/udp-socket.o
    399	      0	      0	    399	    18f	obj_avr-atmega128rfa1/uip-debug.o
    962	     10	    780	   1752	    6d8	obj_avr-atmega128rfa1/uip-ds6-nbr.o
   1446	     32	    844	   2322	    912	obj_avr-atmega128rfa1/uip-ds6-route.o
   2400	      0	     24	   2424	    978	obj_avr-atmega128rfa1/uip-ds6.o
   1454	     12	     20	   1486	    5ce	obj_avr-atmega128rfa1/uip-icmp6.o
    288	      8	     29	    325	    145	obj_avr-atmega128rfa1/uip-mcast6-route.o
     24	      0	      0	     24	     18	obj_avr-atmega128rfa1/uip-mcast6-stats.o
    178	      0	     20	    198	     c6	obj_avr-atmega128rfa1/uip-nameserver.o
   2046	     12	      9	   2067	    813	obj_avr-atmega128rfa1/uip-nd6.o
    242	      8	   2606	   2856	    b28	obj_avr-atmega128rfa1/uip-packetqueue.o
    244	      0	      0	    244	     f4	obj_avr-atmega128rfa1/uip-split.o
    206	      0	      0	    206	     ce	obj_avr-atmega128rfa1/uip-udp-packet.o
   5854	      0	     13	   5867	   16eb	obj_avr-atmega128rfa1/uip6.o
    422	      0	      0	    422	    1a6	obj_avr-atmega128rfa1/uiplib.o
     96	      0	      0	     96	     60	obj_avr-atmega128rfa1/watchdog.o
